provincias;año;mes;total;intervenciones;violencias
Río Negro;2023;3;81;13;30
Río Negro;2023;4;44;9;23
Río Negro;2023;5;54;7;22
Río Negro;2023;6;35;4;15
Salta;2022;1;95;58;57
Salta;2022;2;75;39;53
Salta;2022;3;53;31;27
Salta;2022;4;72;50;47
Salta;2022;5;70;46;49
Salta;2022;6;75;46;49
Salta;2022;7;39;25;26
Salta;2022;8;64;34;41
Salta;2022;9;42;30;23
Salta;2022;10;90;65;63
Salta;2022;11;88;48;48
Salta;2022;12;58;48;30
Salta;2023;1;56;32;25
Salta;2023;2;82;54;41
Salta;2023;3;103;57;56
Salta;2023;4;61;37;27
Salta;2023;5;85;52;56
Salta;2023;6;73;45;43
San Juan;2022;1;336;333;282
San Juan;2022;2;347;343;301
San Juan;2022;3;406;399;309
San Juan;2022;4;370;355;300
San Juan;2022;5;365;351;296
San Juan;2022;6;321;313;250
San Juan;2022;7;301;290;232
San Juan;2022;8;405;395;316
San Juan;2022;9;426;423;293
San Juan;2022;10;393;390;299
San Juan;2022;11;446;441;359
San Juan;2022;12;380;367;275
San Juan;2023;1;414;407;297
San Juan;2023;2;434;428;340
San Juan;2023;3;499;496;386
San Juan;2023;4;474;462;350
San Juan;2023;5;486;470;351
San Juan;2023;6;415;411;315
San Luis;2022;1;62;17;10
San Luis;2022;2;17;2;2
San Luis;2022;3;10;10;8
San Luis;2022;4;8;6;4
San Luis;2022;5;6;4;2
San Luis;2022;6;18;17;10
San Luis;2022;7;20;19;17
San Luis;2022;8;14;13;6
San Luis;2022;9;16;13;9
San Luis;2022;10;33;21;14
San Luis;2022;11;23;19;17
San Luis;2022;12;26;23;18
San Luis;2023;1;28;22;24
San Luis;2023;2;23;19;21
San Luis;2023;3;44;35;30
San Luis;2023;4;55;44;42
San Luis;2023;5;41;22;19
San Luis;2023;6;39;20;20
Santa Cruz;2022;1;11;6;3
Santa Cruz;2022;2;18;12;5
Santa Cruz;2022;3;26;15;9
Santa Cruz;2022;4;31;29;17
Santa Cruz;2022;5;26;21;11
Santa Cruz;2022;6;20;14;9
Santa Cruz;2022;7;23;18;5
Santa Cruz;2022;8;22;12;8
Santa Cruz;2022;9;29;23;11
Santa Cruz;2022;10;19;14;8
Santa Cruz;2022;11;37;34;27
Santa Cruz;2022;12;28;23;16
Santa Cruz;2023;1;19;16;13
Santa Cruz;2023;2;28;21;11
Santa Cruz;2023;3;26;19;7
Santa Cruz;2023;4;22;16;5
Santa Cruz;2023;5;34;17;8
Santa Cruz;2023;6;23;10;7
Santa Fe;2022;1;63;20;34
Santa Fe;2022;2;48;30;25
Santa Fe;2022;3;85;41;50
Santa Fe;2022;4;66;35;43
Santa Fe;2022;5;84;27;50
Santa Fe;2022;6;63;19;38
Santa Fe;2022;7;46;13;22
Santa Fe;2022;8;50;24;27
Santa Fe;2022;9;74;33;45
Santa Fe;2022;10;86;46;42
Santa Fe;2022;11;89;41;45
Santa Fe;2022;12;112;51;51
Santa Fe;2023;1;97;40;43
Santa Fe;2023;2;138;77;82
Santa Fe;2023;3;140;66;74
Santa Fe;2023;4;99;43;60
Santa Fe;2023;5;122;64;59
Santa Fe;2023;6;90;48;39
Tucumán;2022;1;119;111;66
Tucumán;2022;2;62;62;44
Tucumán;2022;3;235;216;126
Tucumán;2022;4;371;327;117
Tucumán;2022;5;267;204;67
Tucumán;2022;6;265;224;90
Tucumán;2022;7;80;44;18
Tucumán;2022;8;396;310;161
Tucumán;2022;9;130;66;25
Tucumán;2022;10;120;35;20
Tucumán;2022;11;92;46;18
Tucumán;2022;12;208;;53
Tucumán;2023;1;134;;38
Tucumán;2023;2;45;;8
Tucumán;2023;3;66;;7
Tucumán;2023;4;419;;196
Tucumán;2023;5;175;;53
Tucumán;2023;6;124;;58
;;;;;
No se han aplicado filtros;;;;;
